InterviewID,turfList,mxdf@1,w
4444680,29,27,.817389794074257
4444686,16,8,.991132369476739
4444690,30,11,.95464430733801
4444692,22,7,.991132369476739
4444693,22,2,1.24609689412011
4444694,10,23,.959403392747257
4444695,16,8,.42188481776274
4444698,7,29,.813335161922596
4444699,7,12,.817389794074257
4444700,27,1,.817389794074257
4444707,18,10,1.23991567609217
4444711,14,12,.959403392747257
4444713,26,15,.813335161922596
4444715,30,24,.996073354890837
4444716,3,30,.996073354890837
4444719,7,4,.996073354890837
4444720,27,22,.996073354890837
4444721,18,19,1.23991567609217
4444723,10,8,.817389794074257
4444724,24,11,.817389794074257
4444728,22,12,.813335161922596
4444729,17,13,.95464430733801
4444730,8,11,.991132369476739
4444733,8,13,.991132369476739
4444734,9,7,.959403392747257
4444736,17,26,.813335161922596
4444739,20,23,.991132369476739
4444741,12,2,1.23991567609217
4444743,7,12,.911520833159494
4444745,9,24,1.23991567609217
4444746,9,11,.817389794074257
4444747,12,11,1.23991567609217
4444748,14,30,.991132369476739
4444750,7,23,.891115389867773
4444752,26,24,.817389794074257
4444753,7,14,.403128358678571
4444754,7,15,.813335161922596
4444756,12,18,.686371383411018
4444757,26,19,.49518323870014
4444758,27,13,.996073354890837
4444760,15,4,.813335161922596
4444762,8,18,.959403392747257
4444763,24,9,.95464430733801
4444764,15,14,.813335161922596
4444772,4,29,.42188481776274
4444773,3,7,.813335161922596
4444774,24,8,.805621795993865
4444777,8,8,.813335161922596
4444779,3,19,.813335161922596
4444780,27,8,1.23991567609217
4444785,2,22,1.24609689412011
4444786,10,3,.813335161922596
4444788,9,30,1.23991567609217
4444791,8,4,1.23991567609217
4444793,24,26,.991132369476739
4444799,24,14,.95464430733801
4444804,8,26,.991132369476739
4444806,24,15,.813335161922596
4444807,16,3,.959403392747257
4444810,17,29,1.18390583951692
4444812,18,24,1.24609689412011
4444813,16,4,.946360645794854
4444821,24,14,.817389794074257
4444823,3,1,.776594946133272
4444825,10,14,.996073354890837
4444828,18,3,.813335161922596
4444831,24,4,.776594946133272
4444832,2,4,.95464430733801
4444833,18,22,1.04593810023858
4444837,3,11,.959403392747257
4444839,17,22,.813335161922596
4444840,3,18,.813335161922596
4444841,20,1,.95464430733801
4444842,2,19,.95464430733801
4444843,9,30,.42188481776274
4444847,4,19,.95464430733801
4444848,24,2,.817389794074257
4444850,3,22,.817389794074257
4444851,8,2,.911520833159494
4444854,10,15,.95464430733801
4444863,10,2,.95464430733801
4444864,11,3,.996073354890837
4444866,20,1,.991132369476739
4444869,20,2,.959403392747257
4444875,11,4,.95464430733801
4444886,11,9,.817389794074257
4444893,11,1,1.24609689412011
4444901,2,1,.996073354890837
4444906,2,1,.991132369476739
4444908,2,3,.991132369476739
4444910,2,1,.959403392747257
4444916,11,1,.473168025625871
4444918,11,3,.996073354890837
4444919,11,3,.991132369476739
4444931,11,5,.95464430733801
4444941,11,20,.95464430733801
4444946,11,1,.991132369476739
4444947,11,16,.491253279147405
4444960,23,5,.959403392747257
4444967,6,5,1.23991567609217
4444978,21,9,1.23991567609217
4444979,6,9,1.23991567609217
4444997,6,16,1.24609689412011
4445023,21,16,1.23991567609217
4445047,23,20,.614562353632067
4445051,6,5,.991132369476739
4445084,13,16,1.08591556001226
4445089,6,28,1.24609689412011
4445100,13,16,.991132369476739
4445804,29,25,1.24609689412011
4445975,19,27,1.24609689412011
4446094,25,27,1.24609689412011
4446204,30,10,1.24609689412011
4446220,29,28,1.24609689412011
4446227,4,20,1.24609689412011
4446378,30,18,1.23991567609217
4446710,23,25,1.23991567609217
4446735,23,25,1.23991567609217
4446898,25,10,1.23991567609217
4448297,13,20,1.23991567609217
4448323,14,18,1.23991567609217
4448337,13,9,1.23991567609217
4448358,14,28,1.23991567609217
